127.0.0.1, 2012-12-13 12:50:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.429216
127.0.0.1, 2012-12-13 12:50:57, POST, /admin/default/site, HTTP/1.1, 303, 0.118075
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.188514
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001979
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001477
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001727
127.0.0.1, 2012-12-13 12:50:57, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000426
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.081992
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.010582
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003387
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.013672
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.005611
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.024798
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.051224
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.053587
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.056860
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.026076
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.009381
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.006897
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.013621
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.013658
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.019948
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000397
127.0.0.1, 2012-12-13 12:52:28, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.008903
127.0.0.1, 2012-12-13 12:54:47, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.040186
127.0.0.1, 2012-12-13 12:54:58, GET, /admin/default/site, HTTP/1.1, 200, 0.061709
127.0.0.1, 2012-12-13 12:54:58, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.446144
127.0.0.1, 2012-12-13 12:55:01, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.129204
127.0.0.1, 2012-12-13 12:55:06, GET, /admin/default/edit/Betsy/views/default/index.html, HTTP/1.1, 200, 0.056828
127.0.0.1, 2012-12-13 12:55:26, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.155988
127.0.0.1, 2012-12-13 12:55:28, GET, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.056626
127.0.0.1, 2012-12-13 12:55:57, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.040076
127.0.0.1, 2012-12-13 12:56:19, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.043276
127.0.0.1, 2012-12-13 12:56:21, GET, /admin/default/site, HTTP/1.1, 200, 0.061316
127.0.0.1, 2012-12-13 12:56:21, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.338482
127.0.0.1, 2012-12-13 12:56:23, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.131298
127.0.0.1, 2012-12-13 12:56:34, POST, /admin/default/create_file, HTTP/1.1, 303, 0.042585
127.0.0.1, 2012-12-13 12:56:34, GET, /admin/default/edit/Betsy/views/default/first.html, HTTP/1.1, 200, 0.058932
127.0.0.1, 2012-12-13 12:57:09, POST, /admin/default/edit/Betsy/views/default/first.html, HTTP/1.1, 200, 0.040028
127.0.0.1, 2012-12-13 12:57:25, GET, /, HTTP/1.1, 303, 0.000611
127.0.0.1, 2012-12-13 12:57:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.085953
127.0.0.1, 2012-12-13 12:57:26, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000330
127.0.0.1, 2012-12-13 12:57:30, GET, /welcome/default/first, HTTP/1.1, 404, 0.014985
127.0.0.1, 2012-12-13 12:57:36, GET, /welcome/default/first.html, HTTP/1.1, 404, 0.015629
127.0.0.1, 2012-12-13 12:58:28, GET, /default/first.html, HTTP/1.1, 400, 0.000472
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/default/first.html, HTTP/1.1, 200, 0.042299
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/jquery.js, HTTP/1.1, 200, 0.001689
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/css/calendar.css, HTTP/1.1, 200, 0.000931
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/css/web2py.css, HTTP/1.1, 200, 0.002596
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/calendar.js, HTTP/1.1, 200, 0.002517
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/web2py.js, HTTP/1.1, 200, 0.002383
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003502
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002134
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000412
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001605
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000835
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/images/favicon.ico, HTTP/1.1, 200, 0.001088
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/js/share.js, HTTP/1.1, 200, 0.000811
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/images/twitter.png, HTTP/1.1, 200, 0.000403
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/images/facebook.png, HTTP/1.1, 200, 0.001118
127.0.0.1, 2012-12-13 12:58:52, GET, /Betsy/static/images/gplus-32.png, HTTP/1.1, 200, 0.000805
127.0.0.1, 2012-12-13 12:59:42, GET, /admin/default/site, HTTP/1.1, 200, 0.062559
127.0.0.1, 2012-12-13 12:59:42, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.344881
127.0.0.1, 2012-12-13 12:59:48, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.133659
127.0.0.1, 2012-12-13 12:59:55, GET, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.065785
127.0.0.1, 2012-12-13 13:01:01, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.042463
127.0.0.1, 2012-12-13 13:01:12, GET, /admin/default/site, HTTP/1.1, 200, 0.062283
127.0.0.1, 2012-12-13 13:01:12, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.344935
127.0.0.1, 2012-12-13 13:01:14, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.135044
127.0.0.1, 2012-12-13 13:01:20, POST, /admin/default/create_file, HTTP/1.1, 303, 0.040242
127.0.0.1, 2012-12-13 13:01:20, GET, /admin/default/edit/Betsy/views/default/second.html, HTTP/1.1, 200, 0.055092
127.0.0.1, 2012-12-13 13:01:56, POST, /admin/default/edit/Betsy/views/default/second.html, HTTP/1.1, 200, 0.038557
127.0.0.1, 2012-12-13 13:02:09, POST, /admin/default/edit/Betsy/views/default/second.html, HTTP/1.1, 200, 0.041471
127.0.0.1, 2012-12-13 13:02:10, GET, /admin/default/site, HTTP/1.1, 200, 0.061049
127.0.0.1, 2012-12-13 13:02:10, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.312651
127.0.0.1, 2012-12-13 13:02:12, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.141384
127.0.0.1, 2012-12-13 13:02:15, GET, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.059934
127.0.0.1, 2012-12-13 13:02:44, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 200, 0.042206
127.0.0.1, 2012-12-13 13:02:46, POST, /Betsy/default/first.html, HTTP/1.1, 303, 0.017417
127.0.0.1, 2012-12-13 13:02:46, GET, /Betsy/default/second, HTTP/1.1, 200, 0.026574
127.0.0.1, 2012-12-13 13:02:46, GET, /Betsy/static/js/share.js, HTTP/1.1, 304, 0.000309
127.0.0.1, 2012-12-13 13:02:57, GET, /Betsy/default/first.html, HTTP/1.1, 200, 0.027592
127.0.0.1, 2012-12-13 13:23:58, POST, /Betsy/default/first.html, HTTP/1.1, 303, 0.017593
127.0.0.1, 2012-12-13 13:23:58, GET, /Betsy/default/second, HTTP/1.1, 200, 0.026494
127.0.0.1, 2012-12-13 13:23:58, GET, /Betsy/static/js/share.js, HTTP/1.1, 304, 0.000309
127.0.0.1, 2012-12-13 14:24:17, POST, /admin/default/edit/Betsy/controllers/default.py, HTTP/1.1, 303, 0.009037
127.0.0.1, 2012-12-13 14:24:17, GET, /admin/default/index, HTTP/1.1, 200, 0.041954
127.0.0.1, 2012-12-14 10:33:58, GET, /, HTTP/1.1, 303, 0.001062
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.106169
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001235
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002715
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002530
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001893
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001541
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000326
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000322
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001460
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000307
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000323
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001137
127.0.0.1, 2012-12-14 10:33:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000928
127.0.0.1, 2012-12-14 10:34:01, GET, /admin/default/index, HTTP/1.1, 200, 0.108542
127.0.0.1, 2012-12-14 10:34:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2012-12-14 10:34:04, POST, /admin/default/index, HTTP/1.1, 200, 0.087427
127.0.0.1, 2012-12-14 10:34:06, POST, /admin/default/index, HTTP/1.1, 200, 0.086555
127.0.0.1, 2012-12-14 10:34:07, POST, /admin/default/index, HTTP/1.1, 200, 0.086645
127.0.0.1, 2012-12-14 10:34:13, POST, /admin/default/index, HTTP/1.1, 303, 0.085487
127.0.0.1, 2012-12-14 10:34:13, GET, /admin/default/site, HTTP/1.1, 200, 0.089176
127.0.0.1, 2012-12-14 10:34:13, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.329018
127.0.0.1, 2012-12-14 10:34:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.424649
127.0.0.1, 2012-12-14 10:34:19, GET, /admin/default/design/Betsy, HTTP/1.1, 200, 0.174692
127.0.0.1, 2012-12-14 10:34:29, GET, /, HTTP/1.1, 303, 0.000645
127.0.0.1, 2012-12-14 10:34:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.029414
127.0.0.1, 2012-12-14 10:34:29, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000306
127.0.0.1, 2012-12-14 10:34:41, GET, /Betsy/default/first, HTTP/1.1, 200, 0.028885
127.0.0.1, 2012-12-14 10:34:41, GET, /Betsy/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000498
