Jobnumber	Jobname	Status	Started	Ended	Submitted	Command	User
1302	OCCJK8	completed	 	06/23 4:13PM	06/23 4:12PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 29 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out OCCJK8.dat --clean_up	xchen
1303	FPWPNE	completed	 	06/23 4:14PM	06/23 4:13PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out FPWPNE.dat --clean_up	xchen
1304	ZN0VC9	completed	06/23 4:15PM	06/23 4:15PM	06/23 4:14PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out ZN0VC9.dat --clean_up	xchen
1305	JJU2KF	completed	 	06/23 4:16PM	06/23 4:15PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 19 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out JJU2KF.dat --clean_up	xchen
1306	TD1BTH	completed	 	06/23 4:17PM	06/23 4:16PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 17 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out TD1BTH.dat --clean_up	xchen
1307	GIF3M2	completed	06/23 4:18PM	06/23 4:18PM	06/23 4:17PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 11 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out GIF3M2.dat --clean_up	xchen
1308	6WNUHA	completed	 	06/23 4:19PM	06/23 4:18PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 14 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 6WNUHA.dat --clean_up	xchen
1309	BXDP5E	completed	 	06/23 4:20PM	06/23 4:19PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 12 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out BXDP5E.dat --clean_up	xchen
1310	DJ00IA	completed	06/23 4:21PM	06/23 4:21PM	06/23 4:20PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 9 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out DJ00IA.dat --clean_up	xchen
1311	WX7QPV	completed	 	06/23 4:22PM	06/23 4:21PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 7 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out WX7QPV.dat --clean_up	xchen
1312	71DQYF	completed	 	06/2410:59AM	06/23 4:22PM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 5 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 71DQYF.dat --clean_up	xchen
1313	EV5PEG	completed	06/2410:59AM	06/2410:59AM	06/2410:59AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out EV5PEG.dat --clean_up	xchen
1314	G9BC0L	completed	06/2411:00AM	06/2411:00AM	06/2411:00AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out G9BC0L.dat --clean_up	xchen
1315	MT23IO	completed	06/2411:01AM	06/2411:01AM	06/2411:01AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out MT23IO.dat --clean_up	xchen
1316	1XESL6	completed	06/2411:03AM	06/2411:03AM	06/2411:03AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 1XESL6.dat --clean_up	xchen
1317	GNENZG	completed	06/2411:04AM	06/2411:04AM	06/2411:04AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out GNENZG.dat --clean_up	xchen
1318	KHVASG	completed	 	06/2411:05AM	06/2411:04AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 31 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out KHVASG.dat --clean_up	xchen
1319	0HIGPX	completed	 	06/2411:06AM	06/2411:05AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 33 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 0HIGPX.dat --clean_up	xchen
1320	NOME5H	completed	06/2411:07AM	06/2411:07AM	06/2411:06AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 31 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out NOME5H.dat --clean_up	xchen
1321	16WUFI	completed	 	06/2411:08AM	06/2411:07AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 28 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 16WUFI.dat --clean_up	xchen
1322	RAUZ1J	completed	06/2411:09AM	06/2411:09AM	06/2411:08AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 25 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out RAUZ1J.dat --clean_up	xchen
1323	03R0MW	completed	 	06/2411:10AM	06/2411:09AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 21 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out 03R0MW.dat --clean_up	xchen
1324	HCDZDY	completed	06/2411:11AM	06/2411:11AM	06/2411:10AM	python /home/xchen/chencode/Betsy_3version/Betsy/run_module.py --network network.dat --module_id 17 --pool pool.dat --user_inputs user_inputs.dat --pipeline_sequence pipeline_sequence.dat --user xchen --out HCDZDY.dat --clean_up	xchen
